@relation R_data_frame

@attribute avail.datasets {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute simple.classes numeric
@attribute simple.attributes numeric
@attribute simple.numeric numeric
@attribute simple.nominal numeric
@attribute simple.samples numeric
@attribute simple.dimensionality numeric
@attribute simple.numeric_rate numeric
@attribute simple.nominal_rate numeric
@attribute simple.symbols_min numeric
@attribute simple.symbols_max numeric
@attribute simple.symbols_mean numeric
@attribute simple.symbols_sd numeric
@attribute simple.symbols_sum numeric
@attribute simple.class_prob_min numeric
@attribute simple.class_prob_max numeric
@attribute simple.class_prob_mean numeric
@attribute simple.class_prob_sd numeric
@attribute statistical.skewness numeric
@attribute statistical.skewness_prep numeric
@attribute statistical.kurtosis numeric
@attribute statistical.kurtosis_prep numeric
@attribute statistical.abs_cor numeric
@attribute statistical.cancor_1 numeric
@attribute statistical.fract_1 numeric
@attribute inftheo.class_entropy numeric
@attribute inftheo.normalized_class_entropy numeric
@attribute inftheo.attribute_entropy numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute inftheo.joint_entropy numeric
@attribute inftheo.mutual_information numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.noise_signal_ratio numeric
@attribute modelbased.nodes numeric
@attribute modelbased.leaves.nodes_per_attribute numeric
@attribute modelbased.nodes_per_instance numeric
@attribute modelbased.leaf_corrobation numeric
@attribute modelbased.level_min numeric
@attribute modelbased.level_max numeric
@attribute modelbased.level_mean numeric
@attribute modelbased.level_sd numeric
@attribute modelbased.branch_min numeric
@attribute modelbased.branch_max numeric
@attribute modelbased.branch_mean numeric
@attribute modelbased.branch_sd numeric
@attribute modelbased.attribute_min numeric
@attribute modelbased.attribute_max numeric
@attribute modelbased.attribute_mean numeric
@attribute modelbased.attribute_sd numeric
@attribute modelbased.NA numeric
@attribute landmarking.naive_bayes numeric
@attribute landmarking.stump_min numeric
@attribute landmarking.stump_max numeric
@attribute landmarking.stump_mean numeric
@attribute landmarking.stump_sd numeric
@attribute landmarking.stump_min_gain numeric
@attribute landmarking.stump_random numeric
@attribute landmarking.nn_1 numeric
@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute Class {Defaults,Tuning}

@data
1504_steel-plates-fault,2,33,33,0,1941,0.017002,1,0,2,2,2,0,2,0.346728,0.653272,0.5,0.216759,2.768141,2.768141,46.516907,46.516907,0.238996,1,1,0.645398,0.931112,1.219939,0.322378,0.645398,0.029387,21.962181,40.513195,6,7,0.181818,0.003091,0.142857,2,2,2,0,2,7,4.857143,1.9518,0,1,0.181818,0.391675,0.410098,0.653272,0.706337,0.656519,0.010202,0.653272,0.653272,0.997424,0.464,26.962,0,0.207,0.878,0.000325,0,0.05,0.02,0.265,0.003,0.126,0.682,58.818,200065,206.146316,0.106261,1268,0.000001,931.890263,0.288079,0.721733,2.603068,Tuning
1506_thoracic-surgery,2,16,3,13,470,0.034043,0.1875,0.8125,2,7,2.571429,1.398586,36,0.148936,0.851064,0.5,0.496479,2.476082,3.358267,18.300993,28.598043,0.118813,0.350963,1,0.420859,0.607172,0.538157,0.436201,0.75853,0.004668,90.168024,114.298731,0,1,0,0,1,0,1,0.5,0.707107,1,1,1,0,0,0,0,0,0.823404,0.851064,0.851064,0.851064,0,0.851064,0.851064,0.770213,0.009,0.71,0,0.077,0.109,0.298,0.149,0.5,0.338,0.683,0.23,0.381,0.97,29.375,15179,64.591489,0.137722,400,0.000026,288.455319,0.282766,0.710675,2.620652,Tuning
1507_twonorm,2,20,20,0,7400,0.002703,1,0,2,2,2,0,2,0.499595,0.500405,0.5,0.000573,0.03794,0.03794,2.983385,2.983385,0.012862,0.895009,1,0.693147,1,2.359483,0.529703,0.693147,0.090767,7.636551,24.994946,9,10,0.45,0.001216,0.1,2,6,4.5,1.914854,3,5,4.5,0.707107,0,2,0.45,0.759155,0.978919,0.664189,0.684595,0.673014,0.006284,0.674459,0.674459,0.947838,0.435,0.085,0.004,0.01,0.105,0.831,0.023,0.007,0.084,0.782,0.052,0.017,1,370,4864583,1314.752162,0.177693,3703,0,1192.125135,0.200642,0.489029,1.644003,Defaults
1508_user-knowledge,5,5,5,0,403,0.012407,1,0,5,5,5,0,5,0.059553,0.320099,0.2,0.128334,0.458011,0.458011,2.503316,2.503316,0.172811,0.968019,0.910601,1.418943,0.881639,1.840614,0.614412,1.418943,0.276247,5.13651,5.662941,8,9,1.6,0.019851,0.111111,2,6,4,1.632993,3,5,4.333333,0.707107,0,4,1.6,2.19089,0.863524,0.349876,0.57072,0.405955,0.092971,0.364764,0.384615,0.80397,6.001,0.6236,1.312,0.429,0.429,0.4018,0.2002,0.5,0.337,0.692,0.196,0.166,0.99,80.6,7261,36.034739,0.089639,129,0.000008,39.369727,0.139704,0.605075,1.75327,Tuning
1510_wdbc,2,30,30,0,569,0.052724,1,0,2,2,2,0,2,0.372583,0.627417,0.5,0.180194,1.342335,1.342335,8.157269,8.157269,0.31973,0.879957,1,0.660316,0.952635,1.34376,0.422825,0.660316,0.191514,3.447878,6.016516,3,4,0.1,0.005272,0.25,2,2,2,0,2,4,3.25,0.957427,0,1,0.1,0.305129,0.940246,0.627417,0.922671,0.775747,0.110846,0.627417,0.627417,0.952548,3.405,17.077,0,0.517,0.998,0.539,0.049,0.022,0.072,0.558,0.047,0.018,0.998,18.967,24646,86.629174,0.152516,357,0.000007,248.070299,0.196982,0.789984,2.890001,Defaults
1511_wholesale-customers,2,8,7,1,440,0.018182,0.875,0.125,2,3,2.5,0.707107,5,0.322727,0.677273,0.5,0.250701,3.438873,3.157683,26.353041,21.813836,0.230427,0.66699,1,0.628908,0.907323,0.56184,0.241386,0.725984,0.057993,10.844563,8.688068,4,5,0.5,0.009091,0.2,2,2,2,0,2,5,3.8,1.30384,0,2,0.5,0.755929,0.906818,0.677273,0.913636,0.750568,0.103629,0.677273,0.677273,0.868182,1.036,0.398,0.000481,0.418,0.62,0.568,0.309,0.492,0.2,0.521,0.132,0.083,0.982,55,15679,71.268182,0.162342,298,0.000013,130.877273,0.353046,0.695152,2.146295,Tuning
1512_heart-long-beach,5,13,13,0,200,0.065,1,0,5,5,5,0,5,0.05,0.28,0.2,0.089513,0.983174,0.983174,4.628512,4.628512,0.205267,0.501362,0.535807,1.507281,0.936526,0.996816,0.377717,1.507281,0.048429,31.12382,19.583238,9,10,0.692308,0.045,0.1,2,6,3.6,1.67332,3,6,4.6,0.966092,0,2,0.692308,0.751068,0.1,0.28,0.35,0.299615,0.023493,0.28,0.335,0.345,0.101,0.529,1.559,0.307,1.296,0.4002,0.1998,0.5,0.789,1.19,0.663,0.509,1,15.308,849,8.49,0.042663,56,0.000033,39.24,0.081356,0.655172,2.684416,Defaults
1519_robot-failures-lp4,3,90,90,0,117,0.769231,1,0,3,3,3,0,3,0.179487,0.615385,0.333333,0.2446,1.490739,1.490739,9.130304,9.130304,0.268852,0.997654,0.520228,0.932018,0.84836,0.395209,0.164815,0.932018,0.093732,9.943472,3.216391,5,6,0.055556,0.042735,0.166667,2,4,2.5,1,2,5,4,1.095445,0,2,0.055556,0.274828,0.91453,0.615385,0.726496,0.639221,0.033325,0.615385,0.683761,0.863248,1.082,6.313,0,0.94,1.362,0.513333,0.258667,0.5,0.284,0.869,0.138,0.113,0.948,1.289,1056,18.051282,0.155615,72,0.000149,20.811966,0.290096,0.653706,1.866588,Tuning
1520_robot-failures-lp5,5,90,90,0,164,0.54878,1,0,5,5,5,0,5,0.128049,0.286585,0.2,0.07207,1.322368,1.322368,6.606508,6.606508,0.289924,0.98969,0.355993,1.558298,0.968225,0.408323,0.159193,1.558298,0.108791,14.323709,2.753263,7,8,0.077778,0.042683,0.125,2,6,3.5,1.914854,3,5,4.125,0.64087,0,1,0.077778,0.269322,0.707317,0.310976,0.420732,0.365515,0.030867,0.371951,0.310976,0.646341,1.207,2.6758,0,0.957,1.331,0.3996,0.2002,0.5,0.521,0.954,0.362,0.185,0.969,1.811,1121,13.670732,0.08387,47,0.000046,13.268293,0.141526,0.865714,2.428307,Tuning
1523_vertebra-column,3,6,6,0,310,0.019355,1,0,3,3,3,0,3,0.193548,0.483871,0.333333,0.14546,0.773325,0.773325,6.471457,6.471457,0.334149,0.772152,0.755814,1.034079,0.941259,1.183229,0.409369,1.034079,0.161346,6.409085,6.333496,4,5,0.666667,0.012903,0.2,2,2,2,0,2,5,3.8,1.30384,0,2,0.666667,0.816497,0.835484,0.483871,0.780645,0.604839,0.107294,0.503226,0.483871,0.770968,0.776,1.697,0.047,0.706,2.371,0.663,0.333667,0.5,0.368,0.671,0.229,0.209,1,51.667,6696,43.2,0.139806,150,0.000017,43.267742,0.263128,0.661421,1.779687,Tuning
1527_volcanoes-a1,5,3,3,0,3252,0.000923,1,0,5,5,5,0,5,0.017835,0.907749,0.2,0.395663,0.295738,0.295738,2.298713,2.298713,0.123768,0.643607,0.986762,0.43429,0.26984,2.427129,0.600321,0.43429,0.075197,5.775353,31.276858,14,15,4.666667,0.004305,0.066667,2,8,4,2.309401,2,8,5.933333,1.533747,4,6,4.666667,1.154701,0.911439,0.907749,0.910209,0.908569,0.00142,0.907749,0.907749,1,0.704,1.3794,6.617,0.691,0.823,0.0752,0.0368,0.5,0.155,0.299,0.119,0.607,0.871,542,737636,453.650677,0.139542,2952,0.000001,2177.591636,0.418341,0.684568,2.621666,Tuning
1528_volcanoes-a2,5,3,3,0,1623,0.001848,1,0,5,5,5,0,5,0.017868,0.906346,0.2,0.394879,0.308114,0.308114,2.309065,2.309065,0.137433,0.646678,0.987686,0.439396,0.273012,2.181351,0.591332,0.439396,0.069975,6.27937,30.17347,6,7,2,0.003697,0.142857,2,4,3,1.154701,2,5,4.285714,1.112697,1,3,2,1,0.909427,0.906346,0.906346,0.906346,0,0.906346,0.906346,0.877388,0.717,1.3436,6.255,0.795,0.888,0.0762,0.0376,0.5,0.158,0.302,0.123,0.599,0.893,541,182859,225.334566,0.138924,1471,0.000004,1081.678373,0.417851,0.683073,2.619494,Defaults
1529_volcanoes-a3,5,3,3,0,1521,0.001972,1,0,5,5,5,0,5,0.019066,0.900066,0.2,0.391371,0.287709,0.287709,2.279028,2.279028,0.139463,0.640834,0.98667,0.462041,0.287082,2.19188,0.598292,0.462041,0.072898,6.338168,29.0677,9,10,3,0.005917,0.1,2,4,2.571429,0.9759,2,8,5.6,1.95505,2,5,3,1.732051,0.904668,0.900066,0.900066,0.900066,0,0.900066,0.900066,0.872452,0.694,1.2608,6.036,0.792,0.919,0.0814,0.04,0.5,0.164,0.317,0.128,0.609,0.895,507,159006,209.080868,0.137553,1369,0.000004,999.990138,0.38001,0.683824,2.619359,Defaults
1530_volcanoes-a4,5,3,3,0,1515,0.00198,1,0,5,5,5,0,5,0.019142,0.90099,0.2,0.39189,0.305621,0.305621,2.33899,2.33899,0.159103,0.611125,0.986273,0.458564,0.284922,2.186017,0.596692,0.458564,0.067981,6.745458,31.156239,7,8,2.333333,0.00462,0.125,2,4,2.8,1.095445,2,6,4.625,1.30247,2,3,2.333333,0.57735,0.90429,0.90099,0.90099,0.90099,0,0.90099,0.90099,0.868647,0.591,1.205,6.773,0.683,0.806,0.0804,0.0396,0.5,0.176,0.344,0.131,0.626,0.888,505,157935,208.49505,0.137711,1365,0.000004,997.894389,0.40631,0.683045,2.619103,Tuning
1531_volcanoes-b1,5,3,3,0,10176,0.000295,1,0,5,5,5,0,5,0.002555,0.962166,0.2,0.426118,0.270716,0.270716,2.675037,2.675037,0.104143,0.481281,0.997886,0.20434,0.126964,2.536671,0.549643,0.20434,0.025321,8.070028,99.18093,2,3,0.666667,0.000197,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,2,0.666667,1.154701,0.960888,0.962166,0.964721,0.963018,0.001475,0.962166,0.962166,0.944182,0.294,0.2364,6.504,0.372,0.499,0.0302,0.0148,0.5,0.078,0.263,0.056,0.698,0.902,3390,8099069,1591.798153,0.156442,9791,0,7398.141706,0.593925,0.677461,2.569753,Defaults
1533_volcanoes-b3,5,3,3,0,10386,0.000289,1,0,5,5,5,0,5,0.002407,0.963412,0.2,0.426811,0.269776,0.269776,2.628335,2.628335,0.093734,0.459873,0.997538,0.198813,0.123529,2.543579,0.549966,0.198813,0.023494,8.462327,107.265514,2,3,0.666667,0.000193,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,2,0.666667,1.154701,0.961775,0.963412,0.963412,0.963412,0,0.963412,0.963412,0.947622,0.261,0.235,6.11,0.747,0.795,0.0294,0.0144,0.5,0.075,0.266,0.053,0.704,0.914,3460,8465905,1630.253225,0.156982,10006,0,7558.221548,0.599656,0.676646,2.567293,Defaults
1535_volcanoes-b5,5,3,3,0,9989,0.0003,1,0,5,5,5,0,5,0.002603,0.960957,0.2,0.425446,0.277794,0.277794,2.727043,2.727043,0.105282,0.47388,0.997781,0.209554,0.130203,2.534083,0.550269,0.209554,0.025215,8.310625,99.498194,3,4,1,0.0003,0.25,2,2,2,0,2,4,3.25,0.957427,0,2,1,1,0.959856,0.960957,0.960957,0.960957,0,0.960957,0.960957,0.943938,0.281,0.2314,6.638,0.142,0.315,0.031,0.0154,0.5,0.08,0.274,0.057,0.704,0.95,3327.333,7802074,1562.133146,0.156401,9599,0,7221.137251,0.591547,0.676109,2.564742,Defaults
1536_volcanoes-b6,5,3,3,0,10130,0.000296,1,0,5,5,5,0,5,0.002567,0.962093,0.2,0.426078,0.269459,0.269459,2.674903,2.674903,0.103049,0.479134,0.997975,0.20461,0.127131,2.5278,0.547721,0.20461,0.024943,8.203199,100.344146,2,3,0.666667,0.000197,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,2,0.666667,1.154701,0.960809,0.962093,0.964067,0.962751,0.00114,0.962093,0.964067,0.945903,0.29,0.2374,6.467,0.358,0.489,0.0302,0.0148,0.5,0.076,0.265,0.054,0.697,0.887,3374.667,8029689,1585.328529,0.156514,9746,0,7356.137315,0.599875,0.677107,2.568158,Defaults
1539_volcanoes-d2,5,3,3,0,9172,0.000327,1,0,5,5,5,0,5,0.006106,0.945268,0.2,0.416686,0.25215,0.25215,2.170199,2.170199,0.055672,0.361476,0.990662,0.280392,0.174217,2.605932,0.570932,0.280392,0.020684,13.555971,124.987656,0,1,0,0,1,0,1,0.5,0.707107,1,1,1,0,0,0,0,0,0.9372,0.945268,0.945268,0.945268,0,0.945268,0.945268,0.912451,0.15,0.389,7.074,0.048,0.12,0.044,0.022,0.5,0.126,0.358,0.088,0.743,0.961,3057,6343203,1383.166812,0.15082,8670,0,6473.693415,0.646564,0.678253,2.578111,Tuning
1540_volcanoes-d3,5,3,3,0,9285,0.000323,1,0,5,5,5,0,5,0.006247,0.944642,0.2,0.416333,0.24407,0.24407,2.173388,2.173388,0.05679,0.368458,0.991582,0.283387,0.176078,2.687218,0.588741,0.283387,0.021186,13.376093,125.83865,0,1,0,0,1,0,1,0.5,0.707107,1,1,1,0,0,0,0,0,0.936349,0.944642,0.944642,0.944642,0,0.944642,0.944642,0.909962,0.156,0.3704,7.013,0.048,0.109,0.0448,0.022,0.5,0.127,0.36,0.09,0.742,0.967,3094.667,6476796,1395.109532,0.15027,8771,0,6558.042326,0.648239,0.678804,2.581289,Tuning
1547_autoUniv-au1-1000,2,20,20,0,1000,0.02,1,0,2,2,2,0,2,0.259,0.741,0.5,0.340825,0.369451,0.369451,1.329708,1.329708,0.056196,0.309874,1,0.572008,0.825234,0.664875,0.191842,0.572008,0.002597,220.293091,255.058228,13,14,0.65,0.013,0.071429,2,6,3.25,1.832251,3,9,5.642857,1.905746,0,2,0.65,0.67082,0.726,0.741,0.741,0.741,0,0.741,0.741,0.668,0.056,0.552,1,0,0,0.518,0.259,0.5,0.462,0.908,0.316,0.241,1,50,56153,112.306,0.112418,741,0.000003,254.402,0.435401,0.337827,1.82636,Tuning
1549_autoUniv-au6-750,8,40,37,3,750,0.053333,0.925,0.075,2,8,3.75,2.872281,15,0.076,0.22,0.125,0.053764,0.459041,0.459818,2.242774,2.156719,0.089966,0.317274,0.257062,2.005728,0.964551,1.913625,0.636615,2.06735,0.039566,50.692915,47.365101,8,9,0.2,0.010667,0.111111,2,4,3.2,1.095445,3,6,4.555556,1.130388,0,3,0.2,0.607644,0.358667,0.22,0.249333,0.224567,0.007602,0.22,0.22,0.164,0.027,0.39675,9.531,0.093,2.555,0.25025,0.125,0.5,0.897,1.09,0.839,0.091,1,18.75,7091,18.909333,0.025246,165,0.000002,102.518667,0.058452,0.717404,2.855211,Defaults
1551_autoUniv-au6-400,8,40,37,3,400,0.1,0.925,0.075,2,8,3.75,2.872281,15,0.0625,0.2775,0.125,0.080855,0.463551,0.476722,2.305182,2.239063,0.13168,0.435642,0.242234,1.919304,0.92299,1.693068,0.619173,1.980077,0.058749,32.669398,27.818522,18,19,0.45,0.045,0.052632,2,10,6,3.098387,4,7,5.578947,1.017393,0,4,0.45,0.904405,0.5,0.2775,0.33,0.286125,0.013264,0.2775,0.2775,0.1525,0.058,0.813,2.326,0.303,2.062,0.250875,0.124875,0.5,0.91,1.093,0.842,0.033,1,10,2372,11.86,0.029724,111,0.000008,69.2425,0.070345,0.757519,3.379361,Defaults
1552_autoUniv-au7-1100,5,12,8,4,1100,0.010909,0.666667,0.333333,2,5,3,1.224745,15,0.139091,0.277273,0.2,0.053794,0.216319,0.537835,1.670058,2.092641,0.085926,0.416891,0.528524,1.580833,0.982227,1.386924,0.623861,1.836927,0.028965,54.576657,46.882147,10,11,0.833333,0.009091,0.090909,2,6,4,1.414214,3,6,4.818182,1.07872,0,2,0.833333,0.834847,0.380909,0.277273,0.316364,0.286515,0.012177,0.277273,0.277273,0.32,0.1,0.3546,9.655,0.032,0.092,0.4004,0.2,0.5,0.841,1.157,0.698,0.539,1,91.667,23938,43.523636,0.039603,305,0.000001,311.476364,0.062733,0.764461,3.712101,Defaults
1553_autoUniv-au7-700,3,12,8,4,700,0.017143,0.666667,0.333333,2,3,2.6,0.547723,13,0.305714,0.35,0.333333,0.024089,0.322953,0.761887,1.757332,2.905226,0.086544,0.348964,0.900179,1.096847,0.998393,1.294131,0.600272,1.344624,0.014056,78.032302,91.067527,10,11,0.833333,0.014286,0.090909,2,4,3.333333,1.032796,3,7,5.181818,1.601136,0,3,0.833333,1.029857,0.458571,0.35,0.435714,0.374762,0.029832,0.35,0.361429,0.364286,0.088,0.177,2.601,0.17,0.201,0.667,0.333333,0.5,0.796,1.092,0.617,0.467,1,58.333,15360,43.885714,0.062784,245,0.000003,288.665714,0.092305,0.755646,3.585045,Defaults
1554_autoUniv-au7-500,5,12,8,4,500,0.024,0.666667,0.333333,2,5,3,1.224745,15,0.086,0.384,0.2,0.113402,0.228863,0.66606,1.719741,2.477574,0.117783,0.40278,0.525837,1.489002,0.925169,1.229821,0.60579,1.732092,0.026077,57.100803,46.161631,13,14,1.083333,0.026,0.071429,2,6,3.714286,1.799471,3,8,5.428571,1.504572,0,4,1.083333,1.311372,0.44,0.384,0.398,0.386167,0.005078,0.384,0.396,0.388,0.064,0.331,9.107,0.052,0.188,0.4,0.2,0.5,0.792,1.129,0.648,0.524,1,41.667,5838,23.352,0.046798,192,0.000005,166.7,0.100937,0.739004,3.864911,Tuning
1555_autoUniv-au6-1000,8,40,37,3,1000,0.04,0.925,0.075,2,8,3.75,2.872281,15,0.089,0.24,0.125,0.04803,0.445611,0.445446,2.221474,2.132478,0.076461,0.283419,0.259678,2.025101,0.973868,1.911111,0.608487,2.086915,0.030353,66.718447,61.962973,1,2,0.025,0.001,0.5,2,2,2,0,2,2,2,0,0,1,0.025,0.158114,0.333,0.24,0.286,0.2416,0.007742,0.24,0.243333,0.143,0.034,0.342875,14.408,0.106,1.665,0.25,0.125,0.5,0.921,1.091,0.859,0.068,1,25,12078,24.156,0.02418,240,0.000001,129.2,0.072702,0.714722,2.78037,Tuning
1556_acute-inflammations,2,6,1,5,120,0.05,0.166667,0.833333,2,2,2,0,12,0.491667,0.508333,0.5,0.011785,0.477373,0.984708,1.72979,2.456832,0.415111,0.962168,1,0.693008,0.9998,0.736995,0.861363,1.112559,0.132507,5.229982,4.561942,3,4,0.5,0.025,0.25,2,2,2,0,2,4,3.25,0.957427,0,1,0.5,0.547723,1,0.575,0.833333,0.708333,0.115109,0.575,0.575,1,0.128,8.616,0,0.343,1,0.333,0,0.01,0.061,0.018,0,0.051,0.899,16.5,757,12.616667,0.106022,61,0.000116,66.933333,0.210565,0.787264,4.764481,Defaults
1558_bank-marketing,2,16,7,9,4521,0.003539,0.4375,0.5625,2,12,4.6,3.977716,46,0.11524,0.88476,0.5,0.544133,2.887663,3.457236,23.957828,23.111179,0.137689,0.538575,1,0.357332,0.515522,1.111311,0.522922,0.904715,0.012161,29.383136,90.382117,9,10,0.5625,0.001991,0.1,2,6,3.6,1.67332,3,6,4.7,1.159502,0,3,0.5625,0.813941,0.868834,0.88476,0.892944,0.885272,0.002046,0.88476,0.88476,0.854899,0.543,0.592,0.082,0.047,0.054,0.231,0.115,0.5,0.211,0.567,0.134,0.327,0.993,282.562,1676461,741.632825,0.164078,4000,0,2873.883654,0.30248,0.708465,2.603889,Tuning
1559_breast-tissue,4,9,9,0,106,0.084906,1,0,4,4,4,0,4,0.132075,0.462264,0.25,0.145438,0.411984,0.411984,2.254075,2.254075,0.206208,0.694128,0.557569,1.271138,0.916932,1.385337,0.601644,1.271138,0.124524,10.207998,10.125083,6,7,0.666667,0.056604,0.142857,2,4,2.4,0.894427,3,6,4.285714,1.380131,0,2,0.666667,0.866025,0.726415,0.462264,0.556604,0.492662,0.035543,0.462264,0.462264,0.481132,0.384,0.6535,0.786,0.667,2.095,0.50075,0.25,0.5,0.705,1,0.524,0.288,1,11.667,419,7.90566,0.075292,49,0.000133,15.056604,0.175896,0.473726,2.016156,Defaults
1566_hill-valley,2,100,100,0,1212,0.082508,1,0,2,2,2,0,2,0.49505,0.50495,0.5,0.007001,3.243431,3.243431,14.130003,14.130003,0.995614,0.428559,1,0.693098,0.999929,0.734004,0.206451,0.693098,0.004701,147.444688,155.146721,1,2,0.01,0.000825,0.5,2,2,2,0,2,2,2,0,0,1,0.01,0.1,0.514026,0.511551,0.529703,0.517789,0.006701,0.524752,0.529703,0.659241,0.004,0.244,0.000159,0.006,0.672,0.978,0.49,0.495,0.526,0.878,0.341,0.439,0.998,12.12,74459,122.869637,0.101461,612,0.000001,813.611386,0.258085,0.774471,3.603832,Tuning
1570_wilt,2,5,5,0,4839,0.001033,1,0,2,2,2,0,2,0.053937,0.946063,0.5,0.630829,1.882682,1.882682,25.973316,25.973316,0.313347,0.390824,1,0.209948,0.30289,1.235048,0.290702,0.209948,0.008563,24.51789,143.230148,13,14,2.6,0.002687,0.071429,2,8,5.2,2.683282,4,6,5,0.784465,0,6,2.6,2.792848,0.893366,0.946063,0.946063,0.946063,0,0.946063,0.946063,0.950196,0.216,0.439,0.000061,0.151,0.348,0.108,0.054,0.5,0.089,0.315,0.05,0.269,0.987,967.8,1927867,796.803885,0.164697,4578,0.000001,3310.890887,0.276365,0.716307,2.524554,Tuning
15_breast-w,2,9,9,0,699,0.012876,1,0,2,2,2,0,2,0.344778,0.655222,0.5,0.219517,2.298203,2.298203,17.17466,17.17466,0.236391,0.914745,1,0.644154,0.929318,1.321626,0.405644,0.644154,0.340976,1.889148,2.876009,6,7,0.666667,0.008584,0.142857,2,4,3,1.154701,3,5,4,0.816497,0,2,0.666667,0.866025,0.958512,0.7897,0.924177,0.885392,0.0427,0.7897,0.858369,0.955651,3.477,0.068,0.248,0.119,0.232,0.464,0.034,0.008,0.063,0.339,0.046,0.046,0.804,77.667,46087,131.865522,0.188919,458,0.000005,146.503577,0.36249,0.650851,1.829838,Defaults
